open_time,open,high,low,close,volume
1682985600000,27993.04,28900.0,27797.46,28700.81,34897.97146
1683072000000,28701.03,29285.93,28144.44,29042.99,47371.76221
1683158400000,29048.31,29400.0,28690.02,28865.4,48028.34417
1683244800000,28866.52,29708.55,28825.0,29533.97,46223.62572
1683331200000,29532.15,29850.0,28388.0,28896.34,33936.28628
1683417600000,28896.29,29173.46,28437.5,28472.77,25241.6332
1683504000000,28472.77,28673.67,27288.22,27701.59,34562.96969
1683590400000,27701.59,27853.69,27378.93,27655.26,35084.72203
1683676800000,27655.26,28340.0,26800.0,27625.07,59128.7589
1683763200000,27625.07,27656.0,26721.0,26990.71,52783.61571
1683849600000,26991.98,27111.89,25822.0,26810.74,54963.37325
1683936000000,26812.5,27062.94,26701.41,26789.44,24605.49647
1684022400000,26789.12,27218.49,26569.08,26938.48,26360.52471
1684108800000,26939.51,27678.39,26754.78,27185.22,51100.45154
1684195200000,27185.21,27317.71,26867.79,27050.24,47244.38157
1684281600000,27050.24,27520.0,26544.47,27415.92,53670.73188
1684368000000,27414.81,27495.7,26371.01,26832.77,61676.75601
1684454400000,26832.77,27192.0,26629.0,26890.67,53183.31
1684540800000,26891.67,27176.4,26834.81,27118.23,20733.30027
1684627200000,27117.92,27298.63,26677.27,26764.06,27823.82234
1684713600000,26764.06,27113.41,26551.31,26863.52,51928.57474
1684800000000,26863.17,27500.0,26805.79,27230.07,57502.70953
1684886400000,27231.38,27235.4,26084.06,26335.51,67748.75737
1684972800000,26335.68,26639.9,25883.64,26481.72,69855.62016
1685059200000,26482.51,26943.11,26335.79,26709.08,57504.90175
1685145600000,26709.44,26894.66,26542.88,26862.13,34479.88578
1685232000000,26862.2,28265.0,26772.0,28074.9,59393.38966
1685318400000,28074.47,28451.67,27515.0,27747.07,66565.30965
1685404800000,27747.08,28054.74,27560.0,27705.72,66562.20607
1685491200000,27706.0,27852.0,26852.3,27225.89,80743.89961
1685577600000,27225.76,27376.47,26600.0,26832.61,84650.2104
1685664000000,26832.09,27310.0,26500.43,27253.39,96753.18164
1685750400000,27253.54,27340.0,26923.33,27082.25,41864.5267
1685836800000,27082.21,27480.0,26960.0,27130.59,55428.29922
1685923200000,27130.71,27147.42,25400.0,25748.2,131533.59206
1686009600000,25748.22,27378.54,25361.25,27248.27,107365.59747
1686096000000,27248.5,27405.0,26029.09,26362.02,95533.35116
1686182400000,26361.75,26834.04,26229.09,26516.47,58299.3047
1686268800000,26518.33,26800.0,26290.59,26502.93,49281.52201
1686355200000,26502.61,26553.34,25461.76,25976.83,72699.76159
1686441600000,25975.02,26241.3,25728.96,25965.91,44642.58871
1686528000000,25965.91,26141.3,25648.15,25948.49,56609.48434
1686614400000,25947.18,26427.6,25701.73,25909.63,65040.19049
1686700800000,25909.64,26047.39,24784.68,25095.38,55603.36961
1686787200000,25095.39,25696.97,24720.2,25527.5,58144.94944
1686873600000,25527.66,26443.6,25100.0,26273.26,56051.22174
1686960000000,26273.17,26737.55,26113.4,26444.26,35077.98958
1687046400000,26444.28,26607.71,26192.16,26273.47,32180.80552
